id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26032155,Giant Sunny Urban Jungle 1-BR In East Village,23024846,Casey,Manhattan,East Village,40.72455,-73.98418,Entire home/apt,200,1,12,2019-05-05,1.0,1,0
35675069,Newly Renovated Apartment (47 Buffalo 1F Room #2),268358454,Devin,Brooklyn,Bedford-Stuyvesant,40.67825,-73.92346,Private room,60,1,0,,,1,171
33115218,Studio apt in the East Village,10530947,Miguel,Manhattan,East Village,40.72047,-73.97998,Entire home/apt,120,4,1,2019-03-17,0.26,1,0
19964062,Brand New Luxury 1BR 12 Mins from midtown,141540856,Dan,Queens,Astoria,40.7698,-73.92009,Entire home/apt,200,2,1,2017-11-24,0.05,1,0
19923426,Bright & Sunny Bedroom in Brooklyn,135840287,Callie,Brooklyn,Crown Heights,40.67783,-73.94209,Private room,65,1,8,2018-04-04,0.34,1,0
6732446,Sunny & Happy Room in Williamsburg,5532810,Sandy,Brooklyn,Williamsburg,40.71676,-73.9439,Private room,70,2,99,2019-06-16,2.02,2,37
18523918,Peaceful sunny flat with backyard,49562545,Ella,Brooklyn,Williamsburg,40.70999,-73.94807,Entire home/apt,235,1,57,2019-06-27,7.04,2,228
680998,Trendy Harlem Apartment in New York,3467798,Laila,Manhattan,Harlem,40.80829,-73.9426,Entire home/apt,125,21,12,2018-12-20,0.15,2,267
7716148,Whole Floor In Cobble Hill,40206276,Jon,Brooklyn,Cobble Hill,40.6881,-73.99498,Entire home/apt,145,2,4,2016-07-08,0.09,1,0
12780993,Washington Heights Studio,18111963,Patricia,Manhattan,Washington Heights,40.84205,-73.93716,Entire home/apt,75,5,0,,,1,0
30589636,Furnished 1000sq large 2bed + office in Harlem,229458601,Kay,Manhattan,Harlem,40.81315,-73.9511,Entire home/apt,3200,90,0,,,1,365
19272890,1 bedroom apt with private terrace on UWS.,134961952,Ilona,Manhattan,Upper West Side,40.7765,-73.97914,Entire home/apt,230,5,0,,,1,0
1886294,quitissential brooklyn loft,9813350,Jeremy,Brooklyn,DUMBO,40.70289,-73.98583,Entire home/apt,150,9,0,,,1,0
2185842,1BR Superbowl rental Hells Kitchen,6910298,Anna,Manhattan,Hell's Kitchen,40.76,-73.99009,Entire home/apt,850,1,0,,,1,0
14728630,Central Park Slope Garden Apartment,8066318,Declan,Brooklyn,Park Slope,40.66894,-73.98516,Entire home/apt,141,4,33,2018-11-19,0.96,1,159
30907275,Cozy Brooklyn Loft,105221828,Tk,Brooklyn,Bedford-Stuyvesant,40.68124,-73.90797,Private room,60,2,1,2019-04-21,0.38,1,0
171776,Gorgeous 1 bdrm in huge duplex!,803086,Benton,Manhattan,Harlem,40.80224,-73.94558,Private room,170,2,17,2015-10-01,0.18,2,88
5638917,Spacious and Sunny Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.72751,-73.94078,Entire home/apt,129,30,5,2019-06-22,0.1,52,342
32241239,Sun drenched modern stylish 2 bedroom apt near all,241945355,Clement & Rose,Brooklyn,Flatlands,40.63129,-73.92748,Entire home/apt,165,2,5,2019-06-19,1.58,2,365
26122874,Sparkling Pad near Times Square HK -w- Full Bed,501343,Bryan,Manhattan,Hell's Kitchen,40.76361,-73.98847,Private room,155,2,3,2019-05-30,0.24,2,0
20674622,Entire Floor in 1870 Downtown Brooklyn Brownstone,33204787,Yaimara,Brooklyn,Gowanus,40.68289,-73.98532,Private room,95,2,21,2018-01-06,0.94,1,0
29051841,Amazing Penthouse,213781715,Anting,Brooklyn,Greenpoint,40.73079,-73.95193,Entire home/apt,350,1,1,2018-11-10,0.12,33,0
20686134,Hideaway Studio,14469743,Brian,Bronx,Pelham Bay,40.84711,-73.83039,Entire home/apt,80,2,66,2019-06-19,3.04,1,56
34182096,Architecturally Designed East Village Oasis,18327084,Sheelagh,Manhattan,East Village,40.72495,-73.97679,Entire home/apt,240,4,0,,,1,83
2305890,Midwood Aerie - Bright  & Private!,11778114,Jake,Brooklyn,Flatbush,40.63449,-73.95742,Entire home/apt,140,1,141,2019-07-01,2.41,1,307
22387499,Peaceful Garden Apartment in Architect's Townhouse,68554866,Andrea & James,Brooklyn,Bushwick,40.68481,-73.90713,Entire home/apt,125,3,27,2019-07-03,2.77,1,41
31580460,Cheery West Village 1BR w/ Washer + Dryer by Blueground,107434423,Blueground,Manhattan,West Village,40.73588,-74.00474,Entire home/apt,236,30,0,,,232,273
257568,Zen Den (Airport Pickup: JFK & LGA),1123923,Adolfo,Brooklyn,Cypress Hills,40.67855,-73.8896,Private room,48,90,53,2017-08-12,0.57,2,1
24077483,Heaven in Hell’s Kitchen,116482644,Yaniv,Manhattan,Hell's Kitchen,40.76499,-73.98888,Private room,110,1,67,2019-04-08,4.51,2,0
27901243,Sunny 3rd floor huge Master Bedroom,78379915,Joanne,Brooklyn,Bedford-Stuyvesant,40.68392,-73.95265,Private room,40,30,1,2019-05-25,0.65,1,282
8498323,Great UES location for Pope visit,44751629,Jeffrey,Manhattan,Upper East Side,40.77532,-73.95132,Entire home/apt,650,2,0,,,1,0
5936796,Room-Convenient UES Near everything,30824695,Idamil,Manhattan,Upper East Side,40.7817,-73.94613,Private room,85,3,3,2017-08-16,0.09,1,0
10068693,Cozy Mozy apt in Cobble Hill,16591072,Marianna,Brooklyn,Boerum Hill,40.68869,-73.98899,Entire home/apt,168,1,1,2016-01-05,0.02,1,0
20757519,Sofa bed in bright & beautiful apt (with rooftop),42154911,Hannah,Manhattan,Harlem,40.82992,-73.94563,Shared room,60,2,1,2017-09-03,0.04,2,0
20440249,Sunset Park Brownstone Apartment with Backyard,31031279,Chelsea,Brooklyn,Sunset Park,40.6494,-74.00967,Entire home/apt,72,3,1,2017-09-01,0.04,1,21
33490968,2BR High Ceiling Zen Sanctuary in Artsy Bushwick,234270791,April G,Brooklyn,Bushwick,40.69627,-73.93076,Private room,100,5,2,2019-05-27,0.7,3,94
16300514,Cozy 1 Bedroom Escape,68714722,Jessica,Manhattan,Upper East Side,40.77704,-73.94442,Entire home/apt,166,2,4,2018-12-28,0.49,1,0
32975089,"Amazing private room near subway (M,J, L,G trains)",248161322,Sergii,Brooklyn,Bushwick,40.70001,-73.93914,Private room,64,30,0,,,14,338
15678054,1br wburg w/ views of NYC + doorman,99145869,Sophie,Brooklyn,Williamsburg,40.71822,-73.95134,Entire home/apt,120,30,6,2018-09-24,0.29,1,164
22717766,The heart of Brooklyn,158461160,Sophia,Brooklyn,Bedford-Stuyvesant,40.68094,-73.9462,Entire home/apt,58,30,4,2019-05-15,0.26,6,220
8388776,"Massive, Cozy, Modern 1BR in Heart of Chelsea!",2227376,Eunwoo,Manhattan,Chelsea,40.74501,-73.99725,Entire home/apt,109,3,10,2018-10-08,0.33,1,0
264323,Comfortable Manhattanville,305972,Allan,Manhattan,Morningside Heights,40.81055,-73.95549,Private room,85,7,171,2019-03-31,1.84,2,144
4331684,Modern 2-Bed Apt.- Great Location!,22487371,John,Manhattan,Hell's Kitchen,40.75579,-73.99154,Entire home/apt,375,3,13,2018-06-23,0.23,1,0
20556243,"Gorgeous, light-filled two-story apartment",131490584,Bree,Brooklyn,Clinton Hill,40.68557,-73.96056,Private room,60,4,0,,,1,0
13670109,Cute Studio in the heart of East Village !,59938558,Thomas,Manhattan,East Village,40.72735,-73.98739,Entire home/apt,120,3,4,2016-10-09,0.11,1,0
27858785,Spacious Lower East Side Room,65692858,Christian,Manhattan,Lower East Side,40.72093,-73.98596,Private room,150,3,17,2019-01-28,1.65,1,188
21461901,Comfy & Quiet Private Room w/ Netflix in NY!,916804,Val,Manhattan,Harlem,40.81953,-73.94717,Private room,79,2,83,2019-07-01,4.14,1,26
3727861,Manhattan Apartment- low rate ,19044783,Jasmine,Manhattan,Harlem,40.80257,-73.9548,Private room,200,1,0,,,1,0
13694692,Queens size bed in a safe & spacious bedroom,21325944,Xi,Manhattan,Harlem,40.81932,-73.95761,Private room,50,2,16,2019-06-28,0.46,1,0
14238785,Ladies Dorm Shared Room (Single Twin Bed),3294438,Torell,Brooklyn,Bedford-Stuyvesant,40.6853,-73.95758,Shared room,45,2,10,2017-10-27,0.29,3,311
31675244,Large Bedroom in Excellent Chinatown/LES Apartment,41108789,Ulysses,Manhattan,Chinatown,40.71444,-73.99344,Private room,85,2,25,2019-06-17,5.0,1,24
23992829,"Room in Nice Apartment, Astoria. Great Area!",20855056,Jonathan,Queens,Ditmars Steinway,40.77694,-73.90846,Private room,35,4,5,2018-04-25,0.32,1,0
1935826,"Priv room in 3 bdrm apt - Room ""C""",9207223,Ryan,Manhattan,Harlem,40.80688,-73.94932,Private room,90,3,1,2015-10-14,0.02,3,177
12108264,"Cool Brooklyn, Close to Manhattan",64930464,Maya,Brooklyn,Bedford-Stuyvesant,40.68823,-73.93367,Entire home/apt,126,2,181,2019-06-23,4.73,1,182
13731898,Artist's House 3 blocks from L Train,149833,Joy And Mike,Brooklyn,Bushwick,40.70335,-73.91583,Entire home/apt,120,3,2,2016-08-22,0.06,1,0
34901323,Incredible Industrial Loft 1BR in Williamsburg,238328671,Brady,Brooklyn,Williamsburg,40.71706,-73.95988,Entire home/apt,375,1,3,2019-07-04,3.0,1,43
33033160,beautiful shared apt in Midtown,248068752,Gúney,Manhattan,Hell's Kitchen,40.76448,-73.98895,Shared room,75,1,20,2019-06-16,5.17,5,365
1427518,"Spacious, amenity-filled 1 BDR Williamsburg Apt",7654662,Elizabeth,Brooklyn,Williamsburg,40.71385,-73.93861,Entire home/apt,160,6,1,2013-09-07,0.01,1,0
9362527,Quiet roomy space,48582770,Kyron,Manhattan,Inwood,40.86227,-73.92943,Private room,60,5,1,2015-12-30,0.02,1,0
26272163,Gorgeous Bedroom steps from local stores!,197354631,Nina,Brooklyn,Williamsburg,40.71471,-73.94173,Private room,67,30,3,2019-05-31,0.28,3,19
35841083,*Nice and Cozy private Bedroom*,13059803,Marie,Queens,Jackson Heights,40.7574,-73.85825,Private room,60,2,2,2019-07-01,2.0,1,326
21876299,Lower East Side Studio Escape #4,158969505,Karen,Manhattan,Lower East Side,40.72083,-73.99308,Entire home/apt,150,30,1,2018-08-31,0.1,9,226
22505049,Beautiful & sunny large room in a gorgeous apt.,138768335,Maria,Brooklyn,East Flatbush,40.65547,-73.92567,Private room,40,30,7,2019-06-10,0.44,2,317
26081052,Sunny room with backyard in a yoga studio,5748117,Malika,Brooklyn,Bedford-Stuyvesant,40.678,-73.93974,Private room,75,1,25,2019-07-07,1.93,1,170
274062,Beautiful Room Near Central Park!,1433395,Stacia,Manhattan,Harlem,40.80285,-73.95166,Private room,99,2,54,2019-06-24,0.88,1,50
9975425,Most Colorful Hamilton Heights Home,4844390,Jade,Manhattan,Harlem,40.82502,-73.95186,Entire home/apt,110,5,9,2017-10-23,0.22,1,0
34111158,Delightful Lower East Side Two Bedroom Apartment,183573239,Janelle,Manhattan,Chinatown,40.71655,-73.99224,Entire home/apt,200,1,5,2019-07-01,2.31,1,11
16154904,SoHo Apartment Room to Rent Ready,32610275,Mario,Manhattan,Nolita,40.72075,-73.99393,Private room,110,3,0,,,1,0
14350781,West Village/SoHo - Small but Mighty Room!,7977178,Abby,Manhattan,SoHo,40.7277,-74.00375,Private room,80,2,8,2019-06-01,0.23,3,275
1515026,"Garden Apartment, Ft. Greene",1396183,Lee,Brooklyn,Fort Greene,40.69197,-73.97218,Entire home/apt,115,4,12,2019-02-22,0.17,1,0
24942175,Big 2-bdrm / Morgan Ave L Train / Roberta's,36849759,Peter,Brooklyn,Bushwick,40.7022,-73.93165,Entire home/apt,200,2,39,2019-06-17,3.09,2,209
24958209,2 Bedroom Garden Getaway,65903420,Brendan,Brooklyn,Crown Heights,40.66673,-73.96158,Entire home/apt,139,3,43,2019-05-26,3.28,1,68
17480547,Room in Brooklyn With Central Air and Heat,83351115,Samuel,Brooklyn,Bushwick,40.69484,-73.92499,Private room,50,12,0,,,1,0
34681035,Renovated with your own bathroom next to Columbia!,25182524,Paola,Manhattan,Harlem,40.80672,-73.95712,Private room,73,1,4,2019-07-04,4.0,2,24
23943945,Modern Brooklyn Luxury 1 Bedroom,97964040,Kristen,Brooklyn,Boerum Hill,40.68417,-73.98215,Entire home/apt,150,1,3,2018-05-10,0.2,1,0
29340345,Sams place,178337703,Samuel,Bronx,Clason Point,40.80504,-73.85327,Private room,300,1,1,2018-10-21,0.11,1,364
17511694,4A-,17770287,Nina,Manhattan,Midtown,40.74896,-73.98277,Entire home/apt,115,30,8,2019-05-01,0.31,14,203
22278680,纽约 罗岛曼哈顿短租 Cozy room in Roosevelt Island,68945394,Cr,Manhattan,Roosevelt Island,40.76176,-73.94999,Shared room,30,4,1,2018-01-10,0.06,1,0
19573709,Studio - West Village - Unit 5,4422523,Marie,Manhattan,West Village,40.73545,-74.00529,Entire home/apt,150,30,6,2019-06-14,0.58,6,141
34191165,Top 3BR Apartment in THE BEST LOCATION,141194319,Cathy,Manhattan,Chelsea,40.75338,-73.99822,Entire home/apt,370,12,0,,,1,320
7094112,"Stuyvesant, East Village",12749467,Naomi,Manhattan,East Village,40.73022,-73.98893,Entire home/apt,198,30,5,2019-01-08,0.11,1,301
2949128,FAB APT & LOCALE in HELLS KCHN PRIVATE SAFE COMFY!,15049157,Marjorie,Manhattan,Hell's Kitchen,40.76375,-73.9924,Entire home/apt,250,3,136,2019-06-21,2.17,1,284
21723212,CROWN HEIGHTS GUEST HOUSE 2R2L3R3L+B,74541079,Abraham,Brooklyn,Crown Heights,40.66911,-73.93666,Entire home/apt,459,4,1,2019-06-24,1.0,9,87
24019698,Midtown East furnished studio apartment,100965471,Melissa,Manhattan,Midtown,40.75247,-73.9695,Entire home/apt,119,2,3,2018-04-26,0.2,1,0
32244865,LARGE Trendy Studio!!!,53931758,Lc,Brooklyn,Flatbush,40.64464,-73.96453,Entire home/apt,100,3,3,2019-06-03,0.97,1,73
10435862,Two Beds OR KingSize Bed by Subway; Washer/Dryer,9372363,Tj,Brooklyn,Midwood,40.61465,-73.96065,Private room,65,2,8,2019-04-07,0.19,2,321
3727816,Great place near Flushing Meadow,19044620,Claudiu,Queens,Forest Hills,40.73538,-73.853,Private room,80,1,2,2014-10-22,0.03,1,0
9695052,Owl's Landing - The Twins,50068597,Alex,Staten Island,Stapleton,40.63573,-74.0772,Private room,48,2,112,2019-07-02,2.6,3,316
19069726,Greenpoint Gem: top floor like private home,38217925,Lily,Brooklyn,Greenpoint,40.73453,-73.95795,Private room,120,5,0,,,2,88
8000716,luxury 1 bedroom apartment  midtown Manhattan,3348610,Ronnie,Manhattan,Chelsea,40.75014,-73.99069,Entire home/apt,250,6,17,2019-06-16,0.37,1,0
30768969,Sunny & Big Room w/private toilet in Bushwick,192181166,Elisa,Brooklyn,Williamsburg,40.70891,-73.94268,Private room,72,3,0,,,2,0
2874695,Pvt Bedroom in Williamsburg Central,164781,Sine,Brooklyn,Williamsburg,40.71242,-73.96793,Private room,100,30,5,2018-09-30,0.09,1,296
12181485,"Sunny, beautiful Brooklyn studio",794042,Rhea,Brooklyn,Clinton Hill,40.68459,-73.96499,Entire home/apt,115,5,8,2016-08-16,0.21,1,0
10117223,"Charming Room in Bushwick, Brooklyn Apt",18782603,Kimberly,Brooklyn,Bushwick,40.68539,-73.9092,Private room,50,3,2,2016-08-15,0.06,1,0
1843955,Spacious Midtown Manhattan room,9634183,Ayse Sera,Manhattan,Midtown,40.76129,-73.96869,Entire home/apt,280,3,21,2016-10-12,0.34,1,98
36166946,Spacious decorated 2 BR minutes from Central Park.,21802668,Domenica,Manhattan,East Harlem,40.80208,-73.94415,Entire home/apt,250,17,0,,,1,46
30514043,Spacious & Renovated Room in a Brooklyn Townhouse!,137358866,Kazuya,Brooklyn,Bushwick,40.6907,-73.91157,Private room,40,30,0,,,103,269
32664982,"Your bright, spacious & central WILLIAMSBURG home!",8498596,Erika,Brooklyn,Williamsburg,40.71558,-73.94877,Private room,95,2,14,2019-06-21,3.44,1,32
6309328,BBoho Room in Williamsburg/Bushwick,30494262,Sanam,Brooklyn,Bushwick,40.70227,-73.92926,Private room,55,2,4,2016-05-18,0.08,1,0
11339109,Sunny Artist PH - Williamsburg  w/PrivateTerrace,58179165,Meg,Brooklyn,Williamsburg,40.71175,-73.96728,Entire home/apt,225,1,6,2018-10-07,0.28,1,89
32518068,Super cute 1 bedroom apartment close to TimeSquare,7441368,Chris And Jamie,Manhattan,Hell's Kitchen,40.7548,-73.9948,Entire home/apt,175,1,27,2019-07-01,6.59,2,133
15095808,Cozy Getaway Rental Home,85202728,Lourdes,Queens,Holliswood,40.72468,-73.76681,Private room,239,3,11,2019-06-30,0.52,1,135
26897811,Sunny Brooklyn musician loft .,126967409,Claudia,Brooklyn,Bedford-Stuyvesant,40.6903,-73.96008,Entire home/apt,82,2,0,,,1,13
18916917,Dynamic Solitude,32613511,Geetika,Manhattan,Midtown,40.74384,-73.98243,Shared room,55,1,1,2017-05-29,0.04,1,0
14066228,Spacious in 1BR East Harlem NYC,46460278,Amanda,Manhattan,East Harlem,40.79474,-73.9383,Entire home/apt,110,3,26,2019-06-23,0.73,1,5
1049224,Beautiful duplex in a brownstone,1740216,Laura,Manhattan,Harlem,40.81241,-73.94371,Entire home/apt,190,30,31,2018-01-04,0.43,2,84
1929186,Modern Bright Loft in Clinton Hill,9990552,Susan,Brooklyn,Bedford-Stuyvesant,40.69135,-73.95859,Entire home/apt,175,2,52,2019-07-04,1.26,1,264
8151536,Sunny Room in Williamsburg Brooklyn,24982391,Maythem,Brooklyn,Williamsburg,40.71248,-73.96379,Private room,90,1,5,2015-10-19,0.11,1,0
28338004,Mott Haven Dorm-Bed D,174785358,Rem,Bronx,Port Morris,40.80994,-73.93061,Shared room,28,1,29,2019-05-27,3.09,7,89
21963723,Apartment in Sunnyside close  to Manhattan.,58943675,Angelo,Queens,Sunnyside,40.74508,-73.92198,Entire home/apt,140,3,4,2018-11-05,0.21,1,0
35991170,"Heart of NYC! - Large, Spacious, Bright 1 Bedroom!",1386697,Andreas,Manhattan,Midtown,40.75913,-73.96487,Entire home/apt,133,30,0,,,1,246
294297,"Lovely apt in Williamsburg, BK",1521604,Summer,Brooklyn,Williamsburg,40.711,-73.96225,Entire home/apt,105,3,11,2019-06-23,0.16,1,0
2489615,Big Sunny Bushwick Apartment,2498724,Josh,Brooklyn,Bushwick,40.70451,-73.92588,Entire home/apt,98,4,32,2019-05-15,0.5,1,8
4739407,"Spacious, Cool 1-BD in Brooklyn",24467359,Juan-Pablo,Brooklyn,Crown Heights,40.67656,-73.94542,Entire home/apt,85,5,14,2016-02-18,0.26,1,0
6985434,*SKYTRAIN* Studio Loft Apartment - Great Space!,25237492,Juliana,Manhattan,Upper West Side,40.78201,-73.98379,Entire home/apt,120,30,9,2019-04-30,0.24,34,339
35877559,Cozy Private Room Near Fordham University Bronx #5,35783912,Pi & Leo,Bronx,Fordham,40.86249,-73.89234,Private room,39,3,1,2019-07-07,1.0,8,180
8614790,Prime Park Slope apartment,45318624,Max,Brooklyn,Park Slope,40.67858,-73.97902,Entire home/apt,300,1,0,,,1,0
742026,NOLITA&SOHO BEST LOCATION&GREAT APT,132132,Rachel,Manhattan,Nolita,40.7229,-73.99574,Entire home/apt,199,7,66,2019-06-09,0.83,1,142
12950997,"Joellen's Place Roomy 1-Queen Bed, Bushwick Apt.",71150679,Joellen,Brooklyn,Bushwick,40.69021,-73.92207,Private room,79,2,57,2019-07-07,1.52,2,127
8990116,Bright and spacious 1 bedroom,5485733,Jelena,Brooklyn,Williamsburg,40.70862,-73.95432,Entire home/apt,150,2,19,2017-10-14,0.42,1,0
215560,"Sunny, calm room in Victorian home",1112560,Mary,Brooklyn,Bedford-Stuyvesant,40.68741,-73.95741,Private room,79,3,152,2019-06-25,1.6,3,192
15704180,ARTIST LOFT in WILLIAMSBURG,1407676,Jessica,Brooklyn,Williamsburg,40.71623,-73.95777,Private room,350,1,19,2019-07-03,0.64,4,244
35875685,"Harlem Hidden Gem,Clean, Affordable and Convenient",269838822,Asya,Manhattan,Harlem,40.80549,-73.95136,Private room,80,2,0,,,1,352
35189297,Bright 2BR in Bed-Stuy (20 Minutes to Manhattan!),264983168,Ian,Brooklyn,Bedford-Stuyvesant,40.68366,-73.9192,Entire home/apt,159,2,1,2019-06-23,1.0,1,341
7222833,2BR/2BA luxury condo in W'Burg,6403403,Tony,Brooklyn,Williamsburg,40.71992,-73.95536,Entire home/apt,299,2,18,2017-04-17,0.38,1,0
8117729,Comfy Quiet Modern E Village Studio,1106804,Ari,Manhattan,East Village,40.7281,-73.98106,Entire home/apt,250,31,2,2015-11-26,0.04,1,358
34937685,New Apartment in Manhattan - New York City,221213143,David,Manhattan,Kips Bay,40.74257,-73.98146,Entire home/apt,350,1,6,2019-06-30,3.83,9,333
20698073,"Hip Modern Brooklyn Studio, Minutes to Manhattan!",148148402,Gary,Brooklyn,Clinton Hill,40.69167,-73.96927,Entire home/apt,129,2,93,2019-07-01,4.15,1,43
8301850,Private top floor,36955448,Indira,Brooklyn,Bedford-Stuyvesant,40.68635,-73.95893,Entire home/apt,160,2,59,2019-06-16,1.58,1,304
30429780,GOTHAM  - DOUBLE DOUBLE,224414117,Gabriel,Manhattan,Hell's Kitchen,40.75541,-73.99634,Private room,199,1,17,2019-04-20,2.34,30,354
4885569,"Heart of Greenwich Village - Large, Clean Space",17056215,Yaniv And Vanessa,Manhattan,Greenwich Village,40.73055,-74.0007,Entire home/apt,180,2,28,2018-12-31,0.58,1,0
32238040,Feminine room in Manhattan. 1 stop to midtown.,59411033,Alexandra,Manhattan,Harlem,40.81359,-73.95246,Private room,85,1,2,2019-05-09,0.82,1,7
619122,Big Sunny Williamsburg 14ft Ceilings w Half Bath,2272846,Zack,Brooklyn,Williamsburg,40.71447,-73.95237,Private room,64,30,17,2019-05-30,0.26,2,230
15094172,Spacious Sun Light Studio in Heart of Williamburg.,95552798,Susan,Brooklyn,Williamsburg,40.7176,-73.96148,Entire home/apt,250,3,19,2018-10-01,0.57,1,7
7872172,"Private room, home away from home",1212731,Emilia,Manhattan,Upper West Side,40.79943,-73.968,Private room,65,1,2,2016-09-02,0.04,1,0
22308102,Cozy Triplex in UES with 2 balconies near Bloomies,109270724,Juno,Manhattan,Upper East Side,40.76327,-73.96197,Entire home/apt,210,1,1,2017-12-28,0.05,1,0
24355153,Rockaway Beach Escape - Beach/City Views,183388833,Welecia,Queens,Rockaway Beach,40.58898,-73.80576,Entire home/apt,179,2,34,2019-03-24,2.37,1,205
31806847,Lovely Room in Brooklyn,93690639,Teo,Brooklyn,Bensonhurst,40.61109,-74.00239,Private room,90,1,0,,,1,0
35520176,New Luxury Manhattan Apartment,217625111,Sonja,Manhattan,Harlem,40.80621,-73.94877,Entire home/apt,750,3,0,,,1,13
30584271,"SuperBig Beautiful room,clean manhattan 30min.",229421782,Sunny,Brooklyn,East Flatbush,40.64743,-73.94356,Private room,43,3,3,2019-03-21,0.43,2,58
568684,800sqft apartment with huge terrace,2798644,Alessandra,Brooklyn,Bushwick,40.70202,-73.92402,Entire home/apt,115,370,6,2018-04-15,0.09,1,365
35904308,Cozy NYC room 25min to Times Square,1272625,Noel & Rachel,Queens,Astoria,40.76598,-73.9162,Private room,60,30,0,,,1,43
10001022,One Bedroom Apartment In Astoria,27078779,Emmanuel,Queens,Astoria,40.76047,-73.92288,Entire home/apt,105,1,0,,,1,0
9654190,Central Park/Museum of Natural Hist,49907738,Ashley,Manhattan,Upper West Side,40.78494,-73.97663,Entire home/apt,400,1,2,2015-12-26,0.05,1,0
9114642,Large 1Br in Brooklyn cottage,7390259,Sean,Brooklyn,Williamsburg,40.71591,-73.95695,Private room,70,6,0,,,1,0
30314104,Magnificent Midtown West 2BR Apt + Gym and Spa!,163251048,Jen,Manhattan,Hell's Kitchen,40.76093,-73.99924,Entire home/apt,499,30,0,,,8,333
15452971,Cozy 1 Bedroom Apartment in Downtown Flushing,60437472,Ting,Queens,Flushing,40.76491,-73.82561,Entire home/apt,122,3,32,2019-06-12,1.06,1,84
24849193,Cozy Tropical NYC Room with Stunning View,36364146,Tomas,Manhattan,Morningside Heights,40.80672,-73.96713,Private room,125,6,3,2018-12-28,0.22,1,34
14633272,South Williamsburg,43810721,Mikey,Brooklyn,Williamsburg,40.71082,-73.95736,Private room,50,1,15,2019-04-18,0.44,1,0
15772067,"SOHO,TRIBECA,LOFT,4500sqft.",46990279,Phenix,Manhattan,Tribeca,40.71634,-74.00505,Entire home/apt,1500,2,4,2017-09-15,0.12,1,365
